domain,m_p,m_e,v_p,r_p,omega_p,tau_p,v_e,r_e,omega_e,miss_distance
aerial,0.35,0.066,28.215688383344123,16.01912450396318,1.7613751847901222,0.08633154759228653,20.84572143987086,9.186090940943739,2.2692700925655394,1.2381761117992478
aerial,0.35,0.05,28.215688383344123,16.01912450396318,1.7613751847901222,0.08633154759228653,19.82153414271403,8.37412482384591,2.3669976934509998,1.1488649921499345
aerial,0.35,0.043,28.215688383344123,16.01912450396318,1.7613751847901222,0.08633154759228653,19.286400463640604,7.96352926844556,2.4218408463770498,1.1052263774945934
aerial,0.35,0.022,28.215688383344123,16.01912450396318,1.7613751847901222,0.08633154759228653,17.078009174142384,6.369279721113571,2.6813093351090185,0.9429127916837649
aerial,0.35,0.011,28.215688383344123,16.01912450396318,1.7613751847901222,0.08633154759228653,15.059534287584345,5.055300664787702,2.978959172988531,0.8140550227406259
aerial,0.226,0.021,26.06276099568626,13.84582723942729,1.8823549178390806,0.08120358097143893,16.934449470169902,6.271275216042069,2.700319932834583,0.898333085372326
aerial,0.226,0.03,26.06276099568626,13.84582723942729,1.8823549178390806,0.08120358097143893,18.066748658061993,7.063010419745897,2.557938836894987,0.9811152120222727
aerial,0.226,0.103,26.06276099568626,13.84582723942729,1.8823549178390806,0.08120358097143893,22.599167580039612,10.655205668226742,2.120950855733281,1.4305398630815211
aerial,0.226,0.085,26.06276099568626,13.84582723942729,1.8823549178390806,0.08120358097143893,21.82504445377844,9.994377224361564,2.183732309060669,1.3342829629214306
aerial,0.226,0.03,26.06276099568626,13.84582723942729,1.8823549178390806,0.08120358097143893,18.066748658061993,7.063010419745897,2.557938836894987,0.9811152120222727
aerial,0.226,0.006,26.06276099568626,13.84582723942729,1.8823549178390806,0.08120358097143893,13.490966166634292,4.1304735505038614,3.2662032577326583,0.6852879174448602
aerial,0.195,0.0185,25.37426172269376,13.18138259620902,1.9250076035264636,0.07954352730734605,16.549390558318116,6.011829726139433,2.7528042729422912,0.8615445140539183
aerial,0.907,0.3587,33.43485350858511,22.003166801044202,1.5195473365678613,0.09864271570416198,28.34167528686743,16.150769570790892,1.7548188748927558,2.164637139579031
aerial,0.907,0.036,33.43485350858511,22.003166801044202,1.5195473365678613,0.09864271570416198,18.674476733071135,7.505568546769048,2.4880828969458966,1.1717574961021224
aquatic,67500.0,0.54,6.609844560957932,2.98885421017299,2.2114978169428228,0.4743539574757211,2.614188640050674,0.05977708420345981,43.7322876297029,0.11960496458287957
aquatic,276.48,0.16,14.128221063980943,0.47821667362767845,29.543555971828464,0.21970144883482134,1.6660751234048226,0.03985138946897321,41.80720285052961,0.07970940950943722
aquatic,227.8125,0.16,14.12748514915711,0.4483281315259486,31.511484905201474,0.2138261699744135,1.6660751234048226,0.03985138946897321,41.80720285052961,0.07970893085297899
aquatic,4320.0,0.54,10.779270067015753,1.195541684069196,9.016222696917582,0.322825419875739,2.614188640050674,0.05977708420345981,43.7322876297029,0.11956769056794035
aquatic,4320.0,81.92,10.779270067015753,1.195541684069196,9.016222696917582,0.322825419875739,13.18697552139759,0.3188111157517856,41.362972838326236,0.6376303471349589
aquatic,4320.0,67.5,10.779270067015753,1.195541684069196,9.016222696917582,0.322825419875739,12.826652332036018,0.29888542101729904,42.91494810412191,0.5977792387390236
aquatic,4320.0,2500.0,10.779270067015753,1.195541684069196,9.016222696917582,0.322825419875739,11.69245860625108,0.99628473672433,11.736061163292074,1.9925717439260233
aquatic,4320.0,6.86,10.779270067015753,1.195541684069196,9.016222696917582,0.322825419875739,6.689649990875765,0.13947986314140623,47.961403461471164,0.2789695836049919
aquatic,116.64,0.0084375,13.697283177442202,0.3586625052207589,38.189894338164635,0.1946967273476002,0.5603138188447218,0.014944271050864953,37.49355301022137,0.029898977524777118
aquatic,0.08192,0.00093312,1.3002439114234392,0.03188111157517857,40.78414607211375,0.07044896095235434,0.24790277015198314,0.007173250104415178,34.55933733572144,0.012844821847846116
aquatic,540.0,0.03456,13.775483115746441,0.5977708420345981,23.04475586139268,0.24128766817075342,0.9445270003399895,0.023910833681383924,39.50205220470262,0.04783456023820611
aquatic,1280.0,67.5,12.738422527943719,0.7970277893794641,15.982407009749782,0.272276021303876,12.826652332036018,0.29888542101729904,42.91494810412191,0.5977756431329942
aquatic,4.53962,0.09826,5.749412110149415,0.12154673788036828,47.30206840934097,0.12358982864527786,1.3908395137891088,0.03387368104862723,41.059591716427114,0.06774790455342465
aquatic,227.8125,0.00128,14.12748514915711,0.4483281315259486,31.511484905201474,0.2138261699744135,0.27868862264808136,0.007970277893794642,34.965985673480446,0.015966102526137792
aquatic,14.8243525,0.00128,8.764567828996661,0.18032753734710377,48.6036018565826,0.14586013213624335,0.27868862264808136,0.007970277893794642,34.965985673480446,0.015945088408188736
aquatic,16.29561008,0.00128,9.039907283439097,0.18610598882010487,48.57397303950986,0.14780525921000118,0.27868862264808136,0.007970277893794642,34.965985673480446,0.015945467662709663
aquatic,39.62770432,0.03456,11.581957165138737,0.25026672586515175,46.278454017811804,0.16738627624170688,0.9445270003399895,0.023910833681383924,39.50205220470262,0.04782529311101827
aquatic,51.87883248,0.3125,12.253529446859664,0.2737790456518459,44.757002559070926,0.1738195523571334,2.1348350816652437,0.04981423683621651,42.85592266894174,0.09963094603179404
aquatic,32.52759552,0.00128,11.04699237718359,0.23432617007756243,47.14365609921851,0.16282282086789718,0.27868862264808136,0.007970277893794642,34.965985673480446,0.015949020986131365
aquatic,132.469763,0.0675,13.83278242413863,0.374204547075994,36.96583200879558,0.19819666675545686,1.2102751836214192,0.029888542101729906,40.49294808365277,0.05978315737324043
aquatic,36.85542352,0.0675,11.389036455182227,0.24428901744480574,46.62115626117104,0.16569530273819505,1.2102751836214192,0.029888542101729906,40.49294808365277,0.05977996261163537
aquatic,68.04144128,0.71874,12.84259285900657,0.2996824488066785,42.854003997048125,0.18054617441781903,2.9061990794271924,0.06575479262380579,44.19752482612249,0.13151201208496882
aquatic,107.1875,0.1071875,13.593075626852904,0.3486996578535155,38.98218802544163,0.19240669505676694,1.4363619606935911,0.03486996578535156,41.191952109599974,0.0697447539507129
aquatic,42.23864374,0.00686,11.74777622361061,0.2556466634434631,45.95317640908175,0.16888823423419974,0.518968919590936,0.013947986314140624,37.207443992456426,0.02790203766260873
aquatic,6.86,0.02,6.689649990875765,0.13947986314140623,47.961403461471164,0.1309439315087473,0.77133277415788,0.019925694734486604,38.71045825182134,0.039852467878987656
aquatic,2.07646,0.0025,4.304868284179525,0.09365076525208704,45.96725154985949,0.11077080190681371,0.3570992929023702,0.009962847367243302,35.84309582785255,0.019926394615378425
aquatic,6.01526,0.04812208,6.3762723201316875,0.13350215472106022,47.761568593812505,0.12855696664787905,1.0677234773537634,0.02670043094421205,39.98899791485267,0.053401644949785824
aquatic,2500.0,0.02,11.69245860625108,0.99628473672433,11.736061163292074,0.2990278244756394,0.77133277415788,0.019925694734486604,38.71045825182134,0.03987623447902821
aquatic,393.66,20.0,14.004674756955918,0.5379937578311382,26.031296001303435,0.23084314385611507,9.641604640514567,0.19925694734486601,48.387796606294785,0.3985173578418432
aquatic,393.66,0.03456,14.004674756955918,0.5379937578311382,26.031296001303435,0.23084314385611507,0.9445270003399895,0.023910833681383924,39.50205220470262,0.04783319723192148
aquatic,276.48,0.54,14.128221063980943,0.47821667362767845,29.543555971828464,0.21970144883482134,2.614188640050674,0.05977708420345981,43.7322876297029,0.11955915074482333
aquatic,0.21296,0.00159014,1.8521792636568863,0.04383652841587053,42.251960421809436,0.080530746578866,0.30200555175889227,0.00856804873582924,35.24787977640551,0.01679163655727291
aquatic,0.78608,0.00370386,3.0042067333992457,0.06774736209725445,44.34426139111615,0.0966863898575302,0.4130588020072908,0.011357645998657365,36.36834622738904,0.022715575124216753
aquatic,312.5,0.27648,14.102828996707386,0.498142368362165,28.310840218381482,0.2235007593691749,2.0401738281751425,0.04782166736276785,42.662122437068035,0.09564942633927269
aquatic,0.03456,0.00078608,0.9445270003399895,0.023910833681383924,39.50205220470262,0.062431004507278134,0.23264926231554578,0.006774736209725446,34.34071159576177,0.010904555455921748
aquatic,0.8575,0.00018522,3.1025350002540373,0.06973993157070311,44.48721027362427,0.09787071881457787,0.13620979891846918,0.004184395894242187,32.55184317188931,0.00836948430172926
aquatic,0.43904,0.00432,2.421290727638252,0.05579194525656248,43.3985715411751,0.0891149509839495,0.4372819815894002,0.011955416840691964,36.576054805638286,0.023910923081735612
aquatic,2.81216,0.05488,4.816485695022038,0.10361361261933033,46.4850667133622,0.1155754528353596,1.120970397886603,0.027895972628281248,40.18395102489277,0.05579236869050502
aquatic,0.3125,0.00370386,2.1348350816652437,0.04981423683621651,42.85592266894174,0.08497261878175362,0.4130588020072908,0.011357645998657365,36.36834622738904,0.02270254954012785
aquatic,0.43904,0.02705798,2.421290727638252,0.05579194525656248,43.3985715411751,0.0891149509839495,0.8626903901538998,0.022037818289465758,39.14590722287026,0.04407576277901744
aquatic,0.93312,0.0084375,3.201175719563527,0.07173250104415177,44.62657335192014,0.09903558008069087,0.5603138188447218,0.014944271050864953,37.49355301022137,0.02988881000989945
aquatic,1.59014,0.00065536,3.8998047673983183,0.08568048735829238,45.51566975909463,0.10670897560316012,0.2174951055271865,0.006376222315035714,34.11033912890917,0.012753224403766672
